ANTARCTICA    Antarctica/Casey
ANTARCTICA    Antarctica/Davis
ANTARCTICA    Antarctica/DumontDUrville
ANTARCTICA    Antarctica/Mawson
ANTARCTICA    Antarctica/McMurdo
ANTARCTICA    Antarctica/Palmer
ANTARCTICA    Antarctica/Rothera
ANTARCTICA    Antarctica/Syowa
ANTARCTICA    Antarctica/Troll
ANTARCTICA    Antarctica/Vostok
ANTARCTICA    Antarctica/Macquarie
AFRICA    Africa/Abidjan
AFRICA    Africa/Accra
AFRICA    Africa/Addis_Ababa
AFRICA    Africa/Algiers
AFRICA    Africa/Asmara
AFRICA    Africa/Bamako
AFRICA    Africa/Bangui
AFRICA    Africa/Banjul
AFRICA    Africa/Bissau
AFRICA    Africa/Blantyre
AFRICA    Africa/Brazzaville
AFRICA    Africa/Bujumbura
AFRICA    Africa/Cairo
AFRICA    Africa/Casablanca
AFRICA    Africa/Ceuta
AFRICA    Africa/Conakry
AFRICA    Africa/Dakar
AFRICA    Africa/Dar_es_Salaam
AFRICA    Africa/Djibouti
AFRICA    Africa/Douala
AFRICA    Africa/El_Aaiun
AFRICA    Africa/Freetown
AFRICA    Africa/Gaborone
AFRICA    Africa/Harare
AFRICA    Africa/Johannesburg
AFRICA    Africa/Juba
AFRICA    Africa/Kampala
AFRICA    Africa/Khartoum
AFRICA    Africa/Kigali
AFRICA    Africa/Kinshasa
AFRICA    Africa/Lagos
AFRICA    Africa/Libreville
AFRICA    Africa/Lome
AFRICA    Africa/Luanda
AFRICA    Africa/Lubumbashi
AFRICA    Africa/Lusaka
AFRICA    Africa/Malabo
AFRICA    Africa/Maputo
AFRICA    Africa/Maseru
AFRICA    Africa/Mbabane
AFRICA    Africa/Mogadishu
AFRICA    Africa/Monrovia
AFRICA    Africa/Nairobi
AFRICA    Africa/Ndjamena
AFRICA    Africa/Niamey
AFRICA    Africa/Nouakchott
AFRICA    Africa/Ouagadougou
AFRICA    Africa/Porto-Novo
AFRICA    Africa/Sao_Tome
AFRICA    Africa/Tripoli
AFRICA    Africa/Tunis
AFRICA    Africa/Windhoek
NORTH_AMERICA    America/Atikokan
NORTH_AMERICA    America/Blanc-Sablon
NORTH_AMERICA    America/Cambridge_Bay
NORTH_AMERICA    America/Creston
NORTH_AMERICA    America/Dawson
NORTH_AMERICA    America/Dawson_Creek
NORTH_AMERICA    America/Edmonton
NORTH_AMERICA    America/Fort_Nelson
NORTH_AMERICA    America/Glace_Bay
